date,open,high,low,close,volume
2022-04-15T16:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T16:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T16:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T16:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:10:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T17:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:10:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T18:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:10:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:20:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:30:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:40:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T19:50:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-15T20:00:00.000Z,40.835,40.835,40.835,40.835,0.0
2022-04-18T13:30:00.000Z,41.26,41.35,41.02,41.28,5143.0
2022-04-18T13:40:00.000Z,41.29,41.415,41.17,41.36,9627.0
2022-04-18T13:50:00.000Z,41.385,41.595,41.355,41.505,9142.0
2022-04-18T14:00:00.000Z,41.495,41.61,41.455,41.53,4345.0
2022-04-18T14:10:00.000Z,41.55,41.55,41.28,41.415,10848.0
2022-04-18T14:20:00.000Z,41.405,41.53,41.33,41.4,7594.0
2022-04-18T14:30:00.000Z,41.415,41.43,41.14,41.16,14479.0
2022-04-18T14:40:00.000Z,41.145,41.18,41.05,41.07,7714.0
2022-04-18T14:50:00.000Z,41.055,41.115,40.98,41.1,16964.0
2022-04-18T15:00:00.000Z,41.095,41.115,41.03,41.11,15286.0
2022-04-18T15:10:00.000Z,41.115,41.16,41.04,41.07,5473.0
2022-04-18T15:20:00.000Z,41.07,41.35,41.045,41.335,22674.0
2022-04-18T15:30:00.000Z,41.34,41.355,41.14,41.205,5477.0
2022-04-18T15:40:00.000Z,41.215,41.295,41.205,41.27,2528.0
2022-04-18T15:50:00.000Z,41.27,41.295,41.2,41.29,5315.0
2022-04-18T16:00:00.000Z,41.29,41.385,41.28,41.34,4599.0
2022-04-18T16:10:00.000Z,41.335,41.47,41.33,41.4,15698.0
2022-04-18T16:20:00.000Z,41.39,41.44,41.38,41.42,5768.0
2022-04-18T16:30:00.000Z,41.43,41.435,41.24,41.25,15942.0
2022-04-18T16:40:00.000Z,41.25,41.255,41.12,41.23,14666.0
2022-04-18T16:50:00.000Z,41.21,41.23,41.155,41.19,2679.0
2022-04-18T17:00:00.000Z,41.21,41.27,41.2,41.215,10975.0
